"score","bonus","year"
10,60,2015
40,67,2015
90,60,2015
-10,90,2015
110,78,2015
40,93,2015
10,80,2015
10,62,2015
-10,34,2015
170,52,2015
-30,96,2015
0,55,2015
130,108,2015
40,9,2015
50,80,2015
200,37,2015
30,78,2015
0,35,2015
-10,90,2015
-30,96,2015
40,67,2015
-20,57,2015
70,86,2015
-70,64,2015
-50,74,2015
-20,59,2015
110,41,2015
-110,52,2015
